doctor_id,doctor_name
1,Matthew Smith
2,Samantha Davies
3,Tiffany Mitchell
4,Kevin Wells
5,Kathleen Hanna
6,Taylor Newton
7,Kelly Olson
8,Suzanne Thomas
9,Daniel Ferguson
10,Heather Day
11,John Duncan
12,Douglas Mayo
13,Kenneth Fletcher
14,Theresa Freeman
15,Roberta Stewart
16,Maria Dougherty
17,Erica Spencer
18,Justin Kim
19,Justin Moore Jr.
20,Denise Galloway
21,Krista Smith
22,Gregory Smith
23,Vanessa Newton
24,Donna Martinez MD
25,Stephanie Kramer
26,Angela Contreras
27,Wendy Glenn
28,James Ellis
29,Jared Bruce Jr.
30,Brandy Mitchell
31,Jacob Huynh
32,Kristina Frazier
33,John Hartman
34,Heather Garcia
35,Lynn Young
36,Emma Allison
37,Laura Myers
38,Travis Parsons
39,Christine Johnson
40,Emily Taylor
41,William Reynolds
42,Jennifer Carter
43,Matthew Thomas
44,Mary Logan
45,Kristin Martinez
46,Daniel Murphy
47,Emily Patterson
48,Heather Smith
49,John Smith
50,Cameron Young
51,Vicki Nguyen
52,Mary Moss
53,Alexander Garcia
54,Patrick Burns
55,Kayla Powers
56,Julia Cox
57,Penny Pruitt
58,Mrs. Lori Hurst PhD
59,Stephen Carr
60,Jacob Daniel
61,Tyler Braun
62,Cindy Ellis
63,Megan Hahn
64,Eric Kelly
65,Jennifer Larson
66,William Hess
67,Patricia Dunn
68,Jack Jackson
69,Jonathan Drake
70,Ian Benitez
71,Jamie Baker
72,Erika Jackson
73,Amanda Garcia
74,Raven Wong
75,Cynthia Scott
76,Mark Padilla
77,Julie Ramirez
78,Jacob Rich
79,Mark Hartman Jr.
80,Timothy Baker
81,Lori Sanchez
82,Connie Boyd
83,James Tucker
84,Juan Acevedo
85,Julie Finley
86,Miguel Parker
87,Jermaine Peters
88,Lisa Edwards
89,Matthew Walker
90,Gregory Hansen
91,Jessica Cruz
92,Robert Salazar
93,Kyle Patterson
94,John Summers
95,Scott Grant
96,David Ruiz
97,Kyle Smith
98,Jason Price
99,Stephanie Clements
100,Steven James
101,Jeremiah Wolf
102,Roberto Petersen
103,Christina Hammond
104,Patricia Colon
105,Dominic Mitchell
106,Wendy Davis
107,Daniel Carson
108,Erin Henderson MD
109,Christopher Butler
110,Samuel Robles
111,Benjamin Webb
112,Krystal Fox
113,Bruce Garrett
114,Jonathan Watson
115,Christopher Guerra
116,Steven Adams
117,Victoria Patel
118,Louis Bell
119,Michael Baker
120,Douglas Fleming
121,Patrick Carter
122,Sarah Shaffer
123,Matthew Carter
124,Brian Wagner
125,Lucas Cole
126,Julia Yoder
127,Crystal Chavez
128,Brenda Lopez
129,Michael Cole
130,Michael Larson
131,Tracey Spence
132,Susan Gibson
133,Todd Sanchez
134,Elizabeth Morales
135,Kimberly Petersen
136,Misty Garcia
137,Melissa Fernandez
138,Kari Moore
139,David Hubbard
140,Lonnie Morgan
141,Victoria Gonzales
142,Cindy White
143,Douglas Li
144,Lori Mendoza
145,Ryan Ross
146,Brian Walton
147,Michael Berg
148,Scott Davis
149,Daniel Shelton
150,Tara Moreno
151,Kristie Morgan
152,Joseph Jones
153,Maria Tran
154,Kelly Murphy
155,Katherine Brown
156,Elizabeth Frank
157,Alyssa Edwards
158,Jesse Thomas
159,Erica Mccormick
160,Amber Holmes
161,Austin Jackson
162,Shane Morris
163,Brent Smith
164,Kayla Davis
165,Rose Zuniga
166,Ethan Wagner
167,Phillip Williams
168,Maureen Hill
169,Heidi Compton MD
170,Kimberly Gonzalez
171,Rebecca Morgan
172,Sabrina Rogers
173,Kevin Brown
174,Sarah Cole
175,Jennifer Hall
176,Emily Cruz
177,Michael Anderson
178,Natalie Sellers
179,Patrick Ochoa
180,Daniel Rodgers
181,Taylor Baldwin
182,Adam Ross
183,Amy Williams
184,Martha Graham
185,Emily Thomas
186,Terrance Rosales
187,Daniel Smith
188,Marissa Stevenson
189,Katie Fitzpatrick
190,Dennis Small
191,Chris Holt
192,Jenny Griffith
193,Gregory Lambert
194,Michael Armstrong
195,Melissa Terry
